epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,8121.07,0.11478,0.14181,0.88387,0.99542,1,0.995,0.995,0.05669,0.09087,0.77735,0.007426,0.007426,0.007426
132,8183.02,0.11314,0.13795,0.88304,0.99554,1,0.995,0.995,0.05651,0.09096,0.77737,0.0074062,0.0074062,0.0074062
133,8244.98,0.11254,0.13959,0.88385,0.99563,1,0.995,0.995,0.05641,0.09136,0.77733,0.0073864,0.0073864,0.0073864
134,8306.87,0.11373,0.13959,0.88295,0.99583,1,0.995,0.995,0.05645,0.09075,0.77731,0.0073666,0.0073666,0.0073666
135,8368.89,0.10975,0.13371,0.88141,0.99564,1,0.995,0.995,0.05653,0.09136,0.77733,0.0073468,0.0073468,0.0073468
136,8430.82,0.11388,0.13859,0.88388,0.99573,1,0.995,0.995,0.0567,0.09214,0.77722,0.007327,0.007327,0.007327
137,8492.76,0.11533,0.14111,0.884,0.99573,1,0.995,0.995,0.05637,0.09237,0.77699,0.0073072,0.0073072,0.0073072
138,8554.78,0.11401,0.13685,0.88287,0.99573,1,0.995,0.995,0.05639,0.0931,0.77697,0.0072874,0.0072874,0.0072874
139,8616.67,0.11324,0.13732,0.88258,0.99565,1,0.995,0.995,0.05619,0.09261,0.77697,0.0072676,0.0072676,0.0072676
140,8678.58,0.11261,0.13728,0.88466,0.99573,1,0.995,0.995,0.05614,0.09269,0.7768,0.0072478,0.0072478,0.0072478
141,8740.67,0.11194,0.1394,0.88336,0.99573,1,0.995,0.995,0.05602,0.09248,0.77671,0.007228,0.007228,0.007228
142,8802.69,0.10982,0.13517,0.88183,0.99576,1,0.995,0.995,0.05596,0.09211,0.77671,0.0072082,0.0072082,0.0072082
143,8864.57,0.11334,0.14227,0.88524,0.99554,1,0.995,0.995,0.05608,0.09236,0.77666,0.0071884,0.0071884,0.0071884
144,8926.48,0.11311,0.13657,0.88313,0.99582,1,0.995,0.995,0.05608,0.09216,0.77663,0.0071686,0.0071686,0.0071686
145,8988.39,0.11093,0.13709,0.88282,0.99568,1,0.995,0.995,0.0562,0.09214,0.77668,0.0071488,0.0071488,0.0071488
146,9050.32,0.10966,0.13799,0.88164,0.99576,1,0.995,0.995,0.05618,0.09048,0.77662,0.007129,0.007129,0.007129
147,9112.29,0.10922,0.13593,0.88375,0.99562,1,0.995,0.995,0.05608,0.09019,0.77659,0.0071092,0.0071092,0.0071092
148,9174.2,inf,0.13568,0.88263,0.99563,1,0.995,0.995,0.05615,0.09038,0.77649,0.0070894,0.0070894,0.0070894
149,9236.3,0.10851,0.13544,0.88365,0.99571,1,0.995,0.995,0.05619,0.09076,0.77651,0.0070696,0.0070696,0.0070696
150,9298.2,0.10744,0.13381,0.88096,0.99564,1,0.995,0.995,0.05619,0.09043,0.7766,0.0070498,0.0070498,0.0070498
